,track_name,by,feature,album_name,album_image,release_date,album_popularity,duration,playlist
0,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),Lil Peep,"['ILOVEMAKONNEN', 'Fall Out Boy']",I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),https://i.scdn.co/image/ab67616d0000b2739067de29733d1ecf1b87e583,2019-01-31,75,233,2019
1,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,['Swae Lee'],Hopeless Romantic (feat. Swae Lee),https://i.scdn.co/image/ab67616d0000b273d7bd17179a6c41ddbddbd4bd,2018-06-21,53,225,2019
2,Moonlight,XXXTENTACION,,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,86,135,2019
3,Lover Boy,Phum Viphurit,,Lover Boy,https://i.scdn.co/image/ab67616d0000b273ebefdcb9f6e825e8582bbac4,2018-03-22,67,236,2019
4,SAD!,XXXTENTACION,,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,87,166,2019
5,Lean Wit Me,Juice WRLD,,Goodbye & Good Riddance,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2018-12-10,82,175,2019
6,Señorita,Shawn Mendes,['Camila Cabello'],Señorita,https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb,2019-06-21,87,190,2019
7,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,"['Chance the Rapper', 'PnB Rock']",Cross Me (feat. Chance the Rapper & PnB Rock),https://i.scdn.co/image/ab67616d0000b273f1d4fe9b36aa7be708ea44ea,2019-05-24,73,206,2019
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,['Swae Lee'],Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,2018-12-14,86,158,2019
9,whoa (mind in awe),XXXTENTACION,,SKINS,https://i.scdn.co/image/ab67616d0000b273da9e59639a9759d8952890c6,2018-12-07,74,157,2019
10,Hide (feat. Seezyn),Juice WRLD,['Seezyn'],Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,2018-12-14,77,205,2019
11,Slide (feat. Frank Ocean & Migos),Calvin Harris,"['Frank Ocean', 'Migos', 'Funk Wav']",Funk Wav Bounces Vol.1,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,2017-06-30,70,230,2019
12,Noticed,Lil Mosey,,Northsbest,https://i.scdn.co/image/ab67616d0000b2738314a1eef415b654f433f3aa,2018-10-19,4,165,2019
13,Space Cadet (feat. Gunna),Metro Boomin,['Gunna'],NOT ALL HEROES WEAR CAPES (Deluxe),https://i.scdn.co/image/ab67616d0000b2732887f8c05b5a9f1cb105be29,2018-11-06,78,203,2019
14,Used To,Juice WRLD,,Goodbye & Good Riddance,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2018-12-10,74,176,2019
15,Waiting For Love,Avicii,,Stories,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,2015-10-02,79,230,2019
16,Red Rubies,88rising,"['Rich Brian', 'Yung Bans', 'Yung Pinch', 'Higher Brothers', 'Don Krez']",Head In The Clouds,https://i.scdn.co/image/ab67616d0000b2734aedbebc17bc6ebccad220e9,2018-07-20,45,243,2019
17,My Bad,Khalid,,Free Spirit,https://i.scdn.co/image/ab67616d0000b273b361ce46dbadbf8a11081b60,2019-04-05,64,163,2019
18,Lucid Dreams,Juice WRLD,,Goodbye & Good Riddance,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2018-12-10,90,239,2019
19,High Right Now,Tyla Yaweh,,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,72,163,2019
20,Revenge,XXXTENTACION,,17,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,2017-08-25,77,120,2019
21,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,"['Diplo', 'Swae Lee']",Close To Me (feat. Swae Lee),https://i.scdn.co/image/ab67616d0000b273dd640dbca55836e23894212a,2018-10-24,77,182,2019
22,Summertime In Paris,Jaden,['WILLOW'],ERYS (Deluxe),https://i.scdn.co/image/ab67616d0000b27360ec4df52c2d724bc53ffec5,2019-07-05,77,270,2019
23,Talk To Myself,Avicii,,Stories,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,2015-10-02,53,235,2019
24,Lover Boy 88,88rising,"['Phum Viphurit', 'Higher Brothers']",Head In The Clouds,https://i.scdn.co/image/ab67616d0000b2734aedbebc17bc6ebccad220e9,2018-07-20,55,233,2019
25,Middle,DJ Snake,['Bipolar Sunshine'],Encore,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,2016-08-05,76,220,2019
26,BAD!,XXXTENTACION,,SKINS,https://i.scdn.co/image/ab67616d0000b273da9e59639a9759d8952890c6,2018-12-07,70,94,2019
27,Touch Me,Avicii,,Stories,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,2015-10-02,51,186,2019
28,Peach Jam,88rising,"['Joji', 'BlocBoy JB']",Head In The Clouds,https://i.scdn.co/image/ab67616d0000b2734aedbebc17bc6ebccad220e9,2018-07-20,62,161,2019
29,I THINK,"Tyler, The Creator",,IGOR,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57,2019-05-17,73,212,2019
30,Keanu Reeves,Logic,,Keanu Reeves,https://i.scdn.co/image/ab67616d0000b273c27ad6f3930a857177ba33dc,2019-01-18,2,225,2019
31,Caught Up (feat. Khalid),Majid Jordan,['Khalid'],Caught Up (feat. Khalid),https://i.scdn.co/image/ab67616d0000b2738abe0e9dae9f218368dfb3b5,2019-07-24,70,247,2019
32,Breathe,88rising,"['Joji', 'Don Krez']",Breathe,https://i.scdn.co/image/ab67616d0000b27321cea5ed05c99d9f132c6cac,2019-09-12,2,125,2019
33,Jocelyn Flores,XXXTENTACION,,17,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,2017-08-25,88,119,2019
34,Gemini,Tyla Yaweh,,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,56,186,2019
35,Eastside (with Halsey & Khalid),benny blanco,"['Halsey', 'Khalid']",Eastside (with Halsey & Khalid),https://i.scdn.co/image/ab67616d0000b2733154f0bdf9a17385d7afc6ba,2018-07-12,81,173,2019
36,Midsummer Madness,88rising,"['Joji', 'Rich Brian', 'Higher Brothers', 'AUGUST 08']",Head In The Clouds,https://i.scdn.co/image/ab67616d0000b2734aedbebc17bc6ebccad220e9,2018-07-20,76,280,2019
37,Find U Again (feat. Camila Cabello),Mark Ronson,['Camila Cabello'],Find U Again (feat. Camila Cabello),https://i.scdn.co/image/ab67616d0000b27318911141cdfc2a1c59169ade,2019-05-30,70,176,2019
38,Addicted To You,Avicii,,True,https://i.scdn.co/image/ab67616d0000b2734cfcceb6f9b1aae8752810e7,2013-09-13,69,148,2019
39,EARFQUAKE,"Tyler, The Creator",,IGOR,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57,2019-05-17,82,190,2019
40,Swimming Pool,88rising,"['Higher Brothers', '03 Greedo']",Head In The Clouds,https://i.scdn.co/image/ab67616d0000b2734aedbebc17bc6ebccad220e9,2018-07-20,41,272,2019
41,Better,Khalid,,Free Spirit,https://i.scdn.co/image/ab67616d0000b273b361ce46dbadbf8a11081b60,2019-04-05,66,229,2019
42,Salute (feat. French Montana),Tyla Yaweh,['French Montana'],Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,62,182,2019
43,Everybody Dies In Their Nightmares,XXXTENTACION,,17,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,2017-08-25,84,95,2019
44,Katharsis,TK from Ling tosite sigure,,Katharsis,https://i.scdn.co/image/ab67616d0000b27383a0a177ac01d893a9fe1e0f,2018-11-21,63,262,2019
45,MIDDLE CHILD,J. Cole,,MIDDLE CHILD,https://i.scdn.co/image/ab67616d0000b2737f37a4001ae7d8be430bd91b,2019-01-23,83,213,2019
46,Hundred,Khalid,,Free Spirit,https://i.scdn.co/image/ab67616d0000b273b361ce46dbadbf8a11081b60,2019-04-05,66,277,2019
47,Depression & Obsession,XXXTENTACION,,17,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,2017-08-25,74,144,2019
48,Ain't What It Seems,Tyla Yaweh,,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,49,172,2019
49,772 Love,YNW Melly,,772 Love,https://i.scdn.co/image/ab67616d0000b2737fdf28b1a1cd14c3e84dad2b,2017-10-16,73,209,2019
50,Ten More Days,Avicii,,Stories,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,2015-10-02,54,245,2019
51,the remedy for a broken heart (why am I so in love),XXXTENTACION,,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,83,160,2019
52,I'm a Mess,Bebe Rexha,,Expectations,https://i.scdn.co/image/ab67616d0000b27361fe6d3a50c0beaa3cfe33e9,2018-06-22,79,195,2019
53,Let Me Down Slowly,Alec Benjamin,,Narrated For You,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,2018-11-16,85,169,2019
54,Unravel,TK from Ling tosite sigure,,Fantastic Magic,https://i.scdn.co/image/ab67616d0000b2739b340b4f1068ddf6ade20374,2014-08-27,76,238,2019
55,Sauce!,XXXTENTACION,,"XXXTENTACION Presents: Members Only, Vol. 4",https://i.scdn.co/image/ab67616d0000b27365ba84e2771cc90d8192a06a,2019-01-23,66,144,2019
56,The London (feat. J. Cole & Travis Scott),Young Thug,"['J. Cole', 'Travis Scott']",The London (feat. J. Cole & Travis Scott),https://i.scdn.co/image/ab67616d0000b273137c2d3150118e7157800c5b,2019-05-23,78,200,2019
57,Symphony (feat. Zara Larsson),Clean Bandit,['Zara Larsson'],What Is Love? (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d,2018-11-30,75,212,2019
58,Without Me,Halsey,,Without Me,https://i.scdn.co/image/ab67616d0000b273c42acc1b86597285c2c79559,2018-10-04,84,201,2019
59,Who Shot Johnny?,Tyla Yaweh,,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,58,165,2019
60,Robbery,Juice WRLD,,Death Race For Love,https://i.scdn.co/image/ab67616d0000b273af149eb4002f65f83afc63c4,2019-03-08,89,240,2019
61,Oceans,Waxcat,,Oceans,https://i.scdn.co/image/ab67616d0000b2730f063afecbfa824dce546bd5,2018-12-28,42,260,2019
62,For A Better Day,Avicii,,Stories,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,2015-10-02,67,206,2019
63,Adderall,Tyla Yaweh,,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,44,168,2019
64,SLOW DANCING IN THE DARK,Joji,,BALLADS 1,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,2018-10-26,85,209,2019
65,Don't Pretend (feat. SAFE),Khalid,['SAFE'],Free Spirit,https://i.scdn.co/image/ab67616d0000b273b361ce46dbadbf8a11081b60,2019-04-05,65,165,2019
66,Dangerous,Kardinal Offishall,['Akon'],Not 4 Sale,https://i.scdn.co/image/ab67616d0000b273cedc24abc2e757d13b386d1e,2008-01-01,68,246,2019
67,Wraith Skating (feat. PnB Rock),Tyla Yaweh,['PnB Rock'],Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,46,154,2019
68,TEST DRIVE,Joji,,BALLADS 1,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,2018-10-26,73,179,2019
69,Bad At Love,Halsey,,hopeless fountain kingdom (Deluxe),https://i.scdn.co/image/ab67616d0000b2730f7ad6d8d829906c17cae210,2017-06-02,75,181,2019
70,Swim Good,Frank Ocean,,Swim Good,https://i.scdn.co/image/ab67616d0000b273ebbff7725d3ce0739be01787,2011-01-01,66,257,2019
71,Solo (feat. Demi Lovato),Clean Bandit,['Demi Lovato'],What Is Love? (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d,2018-11-30,73,222,2019
72,No Stylist (feat. Drake),French Montana,['Drake'],No Stylist,https://i.scdn.co/image/ab67616d0000b273816673ed1db2aa75cfa91843,2018-09-20,72,192,2019
73,NUMB,XXXTENTACION,,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,76,186,2019
74,100 Degrees,Rich Brian,,The Sailor,https://i.scdn.co/image/ab67616d0000b2739f49ffe7fe94bdd0f2f98af2,2019-07-26,70,166,2019
75,I.F.L.Y.,Bazzi,,Soul Searching,https://i.scdn.co/image/ab67616d0000b2733a376bd9b9b1f4b2686807db,2019-08-09,83,165,2019
76,Dangerous (feat. Sam Martin),David Guetta,['Sam Martin'],Listen Again,https://i.scdn.co/image/ab67616d0000b273048f37d7b1bba62b93f1009a,2015-11-27,52,203,2019
77,RUNNING OUT OF TIME,"Tyler, The Creator",,IGOR,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57,2019-05-17,69,177,2019
78,Self Care,Mac Miller,,Swimming,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,2018-08-03,79,345,2019
79,SICKO MODE,Travis Scott,,ASTROWORLD,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,2018-08-03,89,312,2019
80,That Girl,Olly Murs,,24 HRS (Deluxe),https://i.scdn.co/image/ab67616d0000b273b3661a089bc89defa235def3,2016-11-11,56,176,2019
81,Going Bad (feat. Drake),Meek Mill,['Drake'],Championships,https://i.scdn.co/image/ab67616d0000b273cd63c5962050729d260077d6,2018-11-30,83,180,2019
82,They Ain't You,Tyla Yaweh,,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,61,167,2019
83,CAN'T GET OVER YOU (feat. Clams Casino),Joji,['Clams Casino'],BALLADS 1,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,2018-10-26,75,107,2019
84,Mixed Personalities (feat. Kanye West),YNW Melly,['Kanye West'],We All Shine,https://i.scdn.co/image/ab67616d0000b27318fe5f786c4a429f47b1b253,2019-01-18,76,230,2019
85,Lonely Together - Acoustic,Avicii,['Rita Ora'],Lonely Together (Acoustic),https://i.scdn.co/image/ab67616d0000b273464ba9fb0932f5bafba1d3b9,2017-10-27,56,182,2019
86,Chiquita,Tyla Yaweh,,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,48,155,2019
87,ATTENTION,Joji,,BALLADS 1,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,2018-10-26,71,128,2019
88,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"['Sean Paul', 'Anne-Marie']",What Is Love? (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d,2018-11-30,70,251,2019
89,Rollin (feat. Future & Khalid),Calvin Harris,"['Future', 'Khalid', 'Funk Wav']",Funk Wav Bounces Vol.1,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,2017-06-30,64,272,2019
90,Novacane,Tyla Yaweh,,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,51,211,2019
91,Swim,Alec Benjamin,,Narrated For You,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,2018-11-16,61,144,2019
92,"Recognize (with Mercer, feat. Majid Jordan) - Mercer Remix",DJ Snake,"['Mercer', 'Majid Jordan']","Recognize (with Mercer, feat. Majid Jordan) [Mercer Remix]",https://i.scdn.co/image/ab67616d0000b2738da21c0da6566b926b7dea6b,2019-09-27,46,276,2019
93,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,['6ix9ine'],Hoodie SZN,https://i.scdn.co/image/ab67616d0000b273dcfadea246002a5c0fd7b1b8,2018-12-21,82,189,2019
94,The Way I Are,Timbaland,"['Keri Hilson', 'D.O.E.']",Shock Value,https://i.scdn.co/image/ab67616d0000b2734ed674ab91bdc566534f9285,2007-01-01,75,179,2019
95,Ocean (feat. Khalid),Martin Garrix,['Khalid'],Ocean (feat. Khalid),https://i.scdn.co/image/ab67616d0000b273b800b91af812df0ce0dd2883,2018-06-15,73,216,2019
96,Calling My Spirit,Kodak Black,,Dying to Live,https://i.scdn.co/image/ab67616d0000b273f9508eb3070b95ceeb82788b,2018-12-14,73,152,2019
97,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",Calvin Harris,"['Young Thug', 'Pharrell Williams', 'Ariana Grande', 'Funk Wav']",Funk Wav Bounces Vol.1,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,2017-06-30,59,229,2019
98,sand castles,Fujitsu,,corals 2,https://i.scdn.co/image/ab67616d0000b2734a22c258883ab16e7250850d,2018-09-21,59,147,2019
99,Mo Bamba,Sheck Wes,,MUDBOY,https://i.scdn.co/image/ab67616d0000b27359cd47039c5b10ed919fbaa8,2018-10-05,79,183,2019
100,SAD!,XXXTENTACION,,SAD!,https://i.scdn.co/image/ab67616d0000b273258871cc2f0e5d66e28b30c6,2018-03-02,1,166,2018
101,HandClap,Fitz and The Tantrums,,Fitz and The Tantrums,https://i.scdn.co/image/ab67616d0000b27358c4833cc8b1a3d6e4890940,2016-06-10,66,193,2018
102,Don't Leave Me,BTS,,FACE YOURSELF,https://i.scdn.co/image/ab67616d0000b2737df155730d4d753560ec28a5,2018-04-04,69,227,2018
103,Find Your Love,Drake,,Thank Me Later,https://i.scdn.co/image/ab67616d0000b27311b21e8b868800918d21bb77,2010-01-01,61,208,2018
104,Youngblood,5 Seconds of Summer,,Youngblood (Deluxe),https://i.scdn.co/image/ab67616d0000b27341aa6776dc15fbd71a2b4557,2018-06-15,83,203,2018
105,Shape of You,Ed Sheeran,,÷ (Deluxe),https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,2017-03-03,86,233,2018
106,Quit (feat. Ariana Grande),Cashmere Cat,['Ariana Grande'],9,https://i.scdn.co/image/ab67616d0000b273747de7362e80274878719786,2017-04-28,69,258,2018
107,Self Care,Mac Miller,,Swimming,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,2018-08-03,79,345,2018
108,All The Stars (with SZA),Kendrick Lamar,['SZA'],Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,2018-02-09,79,232,2018
109,Hi Bich,Bhad Bhabie,,Hi Bich,https://i.scdn.co/image/ab67616d0000b27344b518e6f15272e5969a52a2,2017-09-21,54,104,2018
110,Novacane,Frank Ocean,,Novacane,https://i.scdn.co/image/ab67616d0000b27359a428dc7ef8e0c12b0fe18a,2011-01-01,71,302,2018
111,Smells Like Teen Spirit,Nirvana,,Nevermind (Remastered),https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf,1991-09-26,75,301,2018
112,Neon Guts (feat. Pharrell Williams),Lil Uzi Vert,['Pharrell Williams'],Luv Is Rage 2 (Deluxe),https://i.scdn.co/image/ab67616d0000b2730d5a84e4e47399d2726c330c,2017-11-17,56,258,2018
113,Moonlight,XXXTENTACION,,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,86,135,2018
114,Take Care,Drake,['Rihanna'],Take Care,https://i.scdn.co/image/ab67616d0000b273ac0c2daf1867b0d86cca74be,2011-11-15,44,277,2018
115,Redbone,Childish Gambino,,"""Awaken, My Love!""",https://i.scdn.co/image/ab67616d0000b2730b97e56ffad7c6211aa848f8,2016-12-02,4,326,2018
116,All Time Low,Jon Bellion,,The Human Condition,https://i.scdn.co/image/ab67616d0000b273804533fa6608d1c8d420dbeb,2016-06-10,72,217,2018
117,Cry Me a River,Justin Timberlake,,Justified,https://i.scdn.co/image/ab67616d0000b273346a5742374ab4cf9ed32dee,2002-11-04,74,288,2018
118,Despacito - Remix,Luis Fonsi,"['Daddy Yankee', 'Justin Bieber']",Despacito Feat. Justin Bieber (Remix),https://i.scdn.co/image/ab67616d0000b273a6a335d613d151c626895a83,2017-04-17,75,228,2018
119,FAKE LOVE,BTS,,Love Yourself 轉 'Tear',https://i.scdn.co/image/ab67616d0000b27321108e396b83d171cc5c2692,2018-05-18,74,242,2018
120,Perplexing Pegasus,Rae Sremmurd,,Perplexing Pegasus,https://i.scdn.co/image/ab67616d0000b2730c4887060da7f88128376220,2017-08-04,0,204,2018
121,OTW,Khalid,"['6LACK', 'Ty Dolla $ign']",OTW,https://i.scdn.co/image/ab67616d0000b2739766f79668e76238a1c13e2c,2018-04-20,77,263,2018
122,Heart-Shaped Box,Nirvana,,In Utero - 20th Anniversary - Deluxe Edition,https://i.scdn.co/image/ab67616d0000b273aca059cebc1841277db22d1c,1993-09-21,75,281,2018
123,Wow Thing,SEULGI,"['SinB', 'CHUNG HA', 'SOYEON of (G)I-DLE']",Wow Thing,https://i.scdn.co/image/ab67616d0000b27388cdde41f2552db78b94e957,2018-09-28,59,171,2018
124,Revenge,XXXTENTACION,,17,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,2017-08-25,77,120,2018
125,Somebody,The Chainsmokers,['Drew Love'],Sick Boy,https://i.scdn.co/image/ab67616d0000b2739c270aec6b6b968a762b3603,2018-04-20,2,223,2018
126,Style,Taylor Swift,,1989 (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273332d85510aba3eb28312cfb2,2014-10-27,58,231,2018
127,Swim Good,Frank Ocean,,Swim Good,https://i.scdn.co/image/ab67616d0000b273ebbff7725d3ce0739be01787,2011-01-01,66,257,2018
